code postal;population;année
4300;568007;2017
4320;118016;2017
4330;48153;2017
4340;370977;2017
4380;191881;2017
4400;72074;2017
4410;130644;2017
4420;419057;2017
4500;14995;2017
4510;711086;2017
4600;433153;2017
4660;53887;2017
4700;365265;2017
5100;2880673;2017
5130;3084;2017
5150;137479;2017
5190;132586;2017
5200;30869;2017
5260;298051;2017
5300;138654;2017
5320;97787;2017
5400;193775;2017
5500;2461917;2017
5700;528063;2017
5800;156426;2017
6130;60459;2017
6160;79085;2017
6210;42068;2017
6260;74376;2017
6320;42077;2017
6390;112083;2017
6420;209753;2017
6430;2586896;2017
6440;42688;2017
6450;204130;2017
6460;142049;2017
6470;45361;2017
6500;600307;2017
6530;417277;2017
6580;26446;2017
6590;47349;2017
6620;68865;2017
6650;10164;2017
6690;80715;2017
6710;21215;2017
6750;12278;2017
6800;209709;2017
6830;55936;2017
6910;241722;2017
7000;155322;2017
7110;35905;2017
7120;105378;2017
7130;8904;2017
7140;28705;2017
7150;200821;2017
7160;181795;2017
7170;38412;2017
7190;45540;2017
7200;677413;2017
7210;17335;2017
7220;40321;2017
7230;128334;2017
7240;40306;2017
7260;88329;2017
7270;289451;2017
7290;98245;2017
7300;55073;2017
7320;296414;2017
7340;125883;2017
7360;167955;2017
7370;216971;2017
7380;201880;2017
7400;340301;2017
7410;5945;2017
7430;16921;2017
7450;13127;2017
7460;138067;2017
7470;28804;2017
7510;43142;2017
7530;358762;2017
7590;3255;2017
7600;399522;2017
7610;3101110;2017
7660;78120;2017
7700;353763;2017
7800;50396;2017
8000;133099;2017
8090;110636;2017
8110;61965;2017
8130;157681;2017
8140;10034;2017
8150;410761;2017
8160;10218;2017
8170;27927;2017
8190;148384;2017
8200;886788;2017
8220;221426;2017
8230;15112;2017
8240;96186;2017
8250;232806;2017
8260;164377;2017
8270;246567;2017
8290;15560;2017
8300;612934;2017
8310;205715;2017
8330;4835;2017
8350;30589;2017
8370;350292;2017
8380;150043;2017
8390;1253;2017
8400;418874;2017
8430;83726;2017
8440;39471;2017
8450;46176;2017
8460;81637;2017
8500;17572;2017
8600;51465;2017
8800;60217;2017
9000;503435;2017
9100;354108;2017
9110;276855;2017
9120;251828;2017
9130;613405;2017
9140;676054;2017
9160;59924;2017
9190;18537;2017
9200;534348;2017
9220;298942;2017
9230;152198;2017
9240;154592;2017
9250;163042;2017
9290;93239;2017
9300;1801779;2017
9310;185311;2017
9320;111307;2017
9350;27425;2017
9400;738199;2017
9460;169462;2017
9500;102976;2017
9600;127021;2017
9800;119584;2017
